id,key,value,type
6345351,reviewed,no,tiger
6345351,name_base,Avenue 136th,tiger
6345351,name_direction_prefix,W,tiger
6345837,name,Toyon Terrace,regular
6345837,highway,residential,regular
6345837,cfcc,A41,tiger
6345837,county,"Alameda, CA",tiger
6345837,reviewed,no,tiger
6345837,name_base,Toyon,tiger
6345837,name_type,Ter,tiger
6346226,name,Gibbons Drive,regular
6346226,highway,residential,regular
6346226,cfcc,A41,tiger
6346226,county,"Alameda, CA",tiger
6346226,reviewed,no,tiger
6346226,name_base,Gibbons,tiger
6346226,name_type,Dr,tiger
6346560,name,Evergreen Street,regular
6346560,name_1,Evergreen Drive,regular
6346560,highway,residential,regular
6346560,cfcc,A41,tiger
6346560,county,"Alameda, CA",tiger
6346560,reviewed,no,tiger
6346560,name_base,Evergreen,tiger
6346560,name_type,St,tiger
6346560,name_base_1,Evergreen,tiger
6346560,name_type_1,Dr,tiger
6347001,name,Peroly Court,regular
6347001,highway,residential,regular
6347001,cfcc,A41,tiger
6347001,county,"Alameda, CA",tiger
6347001,reviewed,no,tiger
6347001,name_base,Peroly,tiger
6347001,name_type,Ct,tiger
6347349,name,Evelyn Court,regular
6347349,highway,service,regular
6347349,service,alley,regular
6347349,cfcc,A41,tiger
6347349,county,"Alameda, CA",tiger
6347349,reviewed,no,tiger
6347349,name_base,Evelyn,tiger
6347349,name_type,Ct,tiger
6347701,name,14th Street,regular
6347701,highway,residential,regular
6347701,cfcc,A41,tiger
6347701,county,"Alameda, CA",tiger
6347701,reviewed,no,tiger
6347701,name_base,14th,tiger
6347701,name_type,St,tiger
6348057,name,Norgren Street,regular
6348057,highway,residential,regular
6348057,cfcc,A41,tiger
6348057,county,"Alameda, CA",tiger
6348057,reviewed,no,tiger
6348057,name_base,Norgren,tiger
6348057,name_type,St,tiger
6348456,name,Curran Avenue,regular
6348456,highway,residential,regular
6348456,cfcc,A41,tiger
6348456,county,"Alameda, CA",tiger
6348456,reviewed,no,tiger
6348456,name_base,Curran,tiger
6348456,name_type,Ave,tiger
6349370,name,Patton Avenue,regular
6349370,highway,residential,regular
6349370,cfcc,A41,tiger
6349370,county,"Alameda, CA",tiger
6349370,reviewed,no,tiger
6349370,name_base,Patton,tiger
6349370,name_type,Ave,tiger
6350797,name,Arrowhead Way,regular
6350797,highway,residential,regular
6350797,cfcc,A41,tiger
6350797,county,"Alameda, CA",tiger
6350797,name_base,Arrowhead,tiger
6350797,name_type,Way,tiger
6352194,name,Pendleton Way,regular
6352194,highway,residential,regular
6352194,cfcc,A41,tiger
6352194,county,"Alameda, CA",tiger
6352194,reviewed,no,tiger
6352194,name_base,Pendleton,tiger
6352194,name_type,Way,tiger
6353190,name,Amelia Street,regular
6353190,highway,residential,regular
6353190,cfcc,A41,tiger
6353190,county,"Alameda, CA",tiger
6353190,reviewed,no,tiger
6353190,name_base,Amelia,tiger
6353190,name_type,St,tiger
