id,node_id,position
6346226,432429266,7
6346226,53077358,8
6346226,432429261,9
6346226,53027596,10
6346226,432429263,11
6346226,432429117,12
6346226,432429118,13
6346226,53027601,14
6346226,53077360,15
6346226,53058924,16
6346226,4269519465,17
6346226,295963892,18
6346226,712797514,19
6346226,712797515,20
6346226,53077361,21
6346560,53078513,0
6346560,53078515,1
6346560,4917673381,2
6346560,53074590,3
6346560,53078516,4
6346560,53078518,5
6346560,4394296630,6
6346560,4375942073,7
6346560,53078524,8
6346560,53078525,9
6346560,3049300002,10
6346560,53072434,11
6346560,53078527,12
6346560,53078529,13
6347001,53080309,0
6347001,53080311,1
6347001,249185099,2
6347349,53081463,0
6347349,249343408,1
6347701,53082820,0
6347701,4917662196,1
6347701,2453303887,2
6347701,3293365139,3
6347701,927303502,4
6347701,3293365129,5
6347701,4917662197,6
6347701,3293365142,7
6347701,4917662198,8
6347701,927304191,9
6347701,53082821,10
6347701,4917662199,11
6347701,4917662200,12
6347701,4917662201,13
6347701,4917662202,14
6347701,53082823,15
6347701,53017507,16
6347701,53028904,17
6347701,53082826,18
6348057,53084334,0
6348057,53084335,1
6348057,242167564,2
6348456,249343748,0
6348456,53058777,1
6348456,1295829291,2
6348456,53085939,3
6348456,1295829294,4
6348456,53085940,5
6348456,53085941,6
6348456,53085942,7
6349370,53082258,0
6349370,404786784,1
6349370,404786785,2
6349370,404786786,3
6349370,404786787,4
6349370,404786788,5
6349370,53087093,6
6350797,52991367,0
6350797,53088832,1
6350797,53088835,2
6350797,833262242,3
6350797,833261978,4
6350797,53088836,5
6350797,833262119,6
6350797,53032052,7
6350797,833262171,8
6350797,53088839,9
6350797,833262058,10
6350797,53088840,11
6350797,53080159,12
6350797,833261942,13
6350797,833262204,14
6350797,53088844,15
6350797,52995624,16
6352194,241567924,0
6352194,53063320,1
6352194,679003148,2
6352194,4918776220,3
6352194,4918776232,4
6352194,4918776222,5
6352194,4918776226,6
6352194,4918776229,7
6352194,241559601,8
6352194,679003318,9
6352194,4918776223,10
6352194,679003321,11
6352194,4918980552,12
6352194,53040241,13
6352194,4918980557,14
6352194,53090539,15
6352194,679003263,16
6352194,53078170,17
6353190,53046682,0
6353190,4924632221,1
6353190,53091729,2
6353190,254364772,3
6354241,53092945,0
6354241,53092950,1
6355243,53094192,0
6355243,53094194,1
6355243,53094195,2
6356819,53096304,0
6356819,53096305,1
6357899,53097705,0
6357899,667233252,1
6357899,53019320,2
6357899,667233253,3
6357899,53027822,4
6359001,53098970,0
6359001,53098971,1
6359001,53098972,2
6360071,53100341,0
6360071,53020214,1
6360071,52978684,2
6360071,53050241,3
6360071,53100342,4
6360071,53100344,5
6360071,53091457,6
6360979,53101442,0
6360979,53081327,1
6360979,53069613,2
6360979,833262225,3
6360979,53101444,4
6362119,53102832,0
6362119,4329254564,1
6362119,53084379,2
6363052,2286039300,0
6363052,702970686,1
6363052,702970687,2
6363052,53081898,3
6363052,260706351,4
6363052,246747401,5
6363052,390569245,6
6363052,246747402,7
6363052,53103877,8
6363052,246747403,9
6363052,390569246,10
6363052,260706352,11
6363052,53081901,12
6363052,246747404,13
6363052,390569247,14
6363052,246747405,15
6363052,246747406,16
6363052,702970688,17
6363052,246747407,18
6363052,246747408,19
6363052,246747409,20
6363052,53059223,21
6364061,660039204,0
6364061,660039240,1
6364061,53105243,2
6364061,53105245,3
6364061,660039250,4
6364061,53029573,5
6365079,53106646,0
6365079,502839395,1
6365079,502839397,2
6365079,53017267,3
6365079,206138599,4
6365079,4701171451,5
6365079,53106647,6
6365079,206138600,7
6365079,206138601,8
6365079,206138602,9
6365079,206138603,10
6365079,4701171452,11
6365079,206138604,12
6365079,53106650,13
6365079,206138148,14
6365079,53106651,15
6365079,4924694716,16
6365079,206138149,17
6365079,206139043,18
6365079,206139044,19
6365079,472257926,20
6365079,472257927,21
6365079,53106653,22
6365079,472257928,23
6365079,472257929,24
6365079,206139045,25
6365079,472257930,26
6365079,472257931,27
6365079,206139046,28
6365079,2878932447,29
6365079,53106655,30
6366010,53020053,0
6366010,712799694,1
6366010,712799684,2
6366010,53107616,3
6366887,3386879805,0
6366887,80575443,1
6366887,1671669579,2
6366887,80575426,3
6366887,80575413,4
6366887,80575452,5
6366887,53108632,6
6366887,3386879799,7
6366887,53108633,8
6366887,3386879800,9
6366887,80575457,10
6366887,80575472,11
6366887,80575484,12
6366887,53064447,13
6368141,53110000,0
6368141,260545787,1
6368141,260545788,2
6368141,260545789,3
6368141,260545790,4
6368141,260545791,5
6368141,260545792,6
6368141,260545793,7
6368141,260545794,8
6368141,260545795,9
6368141,260545796,10
6368141,260545797,11
6368141,260545798,12
6368141,260545799,13
6368141,260545800,14
6368141,260545801,15
6368141,260545802,16
6368141,260545803,17
6368141,53064035,18
6369148,3449422384,0
6369148,53044608,1
6369148,53111250,2
6369148,3449422390,3
6369148,3449422389,4
6369148,3449422380,5
6369148,53024373,6
6370061,53112325,0
6370061,3449547551,1
6370061,53112327,2
6371031,53087352,0
6371031,53042034,1
6371031,53113376,2
6371031,312065196,3
6371031,53073063,4
6371868,53110211,0
6371868,3152042007,1
6371868,3152042004,2
6371868,53114242,3
6371868,3152042008,4
6371868,3152042010,5
6371868,53114244,6
6371868,53114246,7
6372761,53115428,0
6372761,53115429,1
6373787,53116659,0
6373787,53047253,1
6375007,53035984,0
6375007,596061156,1
6375007,53074818,2
6375007,53118560,3
6375952,52982284,0
6375952,1316710869,1
6375952,720630873,2
6375952,720630875,3
6375952,1078563806,4
6375952,53072026,5
